"s","p","t","v","time","diff"
"BINANCE:BTCUSDT","112341.09","1761473385512","0.00049","1761473391154","1"
"BINANCE:BTCUSDT","112341.08","1761473384912","0.00246","1761473391154","1"
"BINANCE:BTCUSDT","112341.09","1761473386645","0.00013","1761473392136","1"
"BINANCE:BTCUSDT","112341.09","1761473386209","5e-5","1761473392136","1"
"BINANCE:BTCUSDT","112341.09","1761473386651","0.00152","1761473392136","1"
"BINANCE:BTCUSDT","112341.08","1761473387667","0.00145","1761473393154","1"
"BINANCE:BTCUSDT","112341.09","1761473387696","0.0001","1761473393154","1"
"BINANCE:BTCUSDT","112341.08","1761473387722","0.0054","1761473393154","1"
"BINANCE:BTCUSDT","112341.08","1761473387928","0.0006","1761473394154","1"
"BINANCE:BTCUSDT","112341.09","1761473388777","0.00257","1761473394154","1"
"BINANCE:BTCUSDT","112341.09","1761473388744","0.00226","1761473394154","1"
"BINANCE:BTCUSDT","112341.09","1761473389692","5e-5","1761473395156","1"
"BINANCE:BTCUSDT","112341.09","1761473389586","7e-5","1761473395156","1"
"BINANCE:BTCUSDT","112341.08","1761473389684","6e-5","1761473395156","1"
"BINANCE:BTCUSDT","112341.08","1761473389433","0.00884","1761473395156","1"
"BINANCE:BTCUSDT","112341.09","1761473390205","0.00062","1761473396156","1"
"BINANCE:BTCUSDT","112341.09","1761473390837","0.00172","1761473396156","1"
"BINANCE:BTCUSDT","112341.08","1761473390167","8e-5","1761473396156","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.59","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.96","1761473391172","0.00098","1761473397154","1"
"BINANCE:BTCUSDT","112340.18","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.73","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.01","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.1","1761473391172","0.00034","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","0.00083","1761473397154","1"
"BINANCE:BTCUSDT","112340.0","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.51","1761473391172","0.00034","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","0.00017","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.0","1761473391172","0.03937","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.59","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","0.91889","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.07","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.5","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.59","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112340.5","1761473391172","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112341.08","1761473391170","5e-5","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391344","0.00024","1761473397154","1"
"BINANCE:BTCUSDT","112339.74","1761473391355","5e-5","1761473397154","1"
