"symbol","windowStart","windowEnd","preds_json","time","diff"
"BINANCE:BTCUSDT","2025-12-07T06:09:20.000000000+0000","2025-12-07T06:10:20.000000000+0000","{""ok"": false, ""msg"": ""too_short"", ""preds"": [], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087773416","1"
"BINANCE:BTCUSDT","2025-12-07T06:09:30.000000000+0000","2025-12-07T06:10:30.000000000+0000","{""ok"": false, ""msg"": ""too_short"", ""preds"": [], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087781416","1"
"BINANCE:BTCUSDT","2025-12-07T06:09:40.000000000+0000","2025-12-07T06:10:40.000000000+0000","{""ok"": false, ""msg"": ""too_short"", ""preds"": [], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087792416","1"
"BINANCE:BTCUSDT","2025-12-07T06:09:00.000000000+0000","2025-12-07T06:10:00.000000000+0000","{""ok"": false, ""msg"": ""too_short"", ""preds"": [], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087802416","-1"
"BINANCE:BTCUSDT","2025-12-07T06:09:10.000000000+0000","2025-12-07T06:10:10.000000000+0000","{""ok"": false, ""msg"": ""too_short"", ""preds"": [], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087802416","-1"
"BINANCE:BTCUSDT","2025-12-07T06:09:10.000000000+0000","2025-12-07T06:10:10.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [89140.1796875, 88604.859375, 88012.6484375, 87431.5546875, 86760.34375, 86030.265625, 85282.734375, 84534.6953125, 83797.4453125, 83077.9609375], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087802416","1"
"BINANCE:BTCUSDT","2025-12-07T06:09:50.000000000+0000","2025-12-07T06:10:50.000000000+0000","{""ok"": false, ""msg"": ""too_short"", ""preds"": [], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087802416","1"
"BINANCE:BTCUSDT","2025-12-07T06:09:00.000000000+0000","2025-12-07T06:10:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [89187.375, 88699.2109375, 88161.0, 87565.5703125, 86945.8828125, 86226.734375, 85531.1640625, 84782.8828125, 84074.328125, 83345.859375], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087802416","1"
"BINANCE:BTCUSDT","2025-12-07T06:09:20.000000000+0000","2025-12-07T06:10:20.000000000+0000","{""ok"": false, ""msg"": ""too_short"", ""preds"": [], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087817042","-1"
"BINANCE:BTCUSDT","2025-12-07T06:09:10.000000000+0000","2025-12-07T06:10:10.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [89140.1796875, 88604.859375, 88012.6484375, 87431.5546875, 86760.34375, 86030.265625, 85282.734375, 84534.6953125, 83797.4453125, 83077.9609375], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1765087817042","-1"
