"timestamp","prev_close","new_close","time","diff"
"2021-11-05T04:06:00.000000000+0000","408.0","407.99","1764938236658","1"
"2021-11-05T04:08:00.000000000+0000","408.0","408.3333","1764938238158","1"
"2021-11-05T04:07:00.000000000+0000","407.99","408.0","1764938238158","1"
"2021-11-05T04:17:00.000000000+0000","408.8967","409.3333","1764938241158","1"
"2021-11-05T04:18:00.000000000+0000","409.3333","410.03","1764938242658","1"
"2021-11-05T04:20:00.000000000+0000","410.8233","410.63","1764938244158","1"
"2021-11-05T04:19:00.000000000+0000","410.03","410.8233","1764938244158","1"
"2021-11-05T04:23:00.000000000+0000","410.0","410.0","1764938247158","1"
"2021-11-05T04:29:00.000000000+0000","409.83","409.6667","1764938248658","1"
"2021-11-05T04:34:00.000000000+0000","408.9567","408.5233","1764938250158","1"
"2021-11-05T04:37:00.000000000+0000","409.01","409.0","1764938253158","1"
"2021-11-05T05:07:00.000000000+0000","407.6667","408.21","1764938259158","1"
"2021-11-05T05:25:00.000000000+0000","408.6633","409.1667","1764938263658","1"
"2021-11-05T05:52:00.000000000+0000","410.3333","411.2667","1764938269658","1"
"2021-11-05T05:54:00.000000000+0000","411.3333","411.6667","1764938271158","1"
"2021-11-05T05:53:00.000000000+0000","411.2667","411.3333","1764938271158","1"
"2021-11-05T05:55:00.000000000+0000","411.6667","412.3333","1764938272658","1"
"2021-11-05T06:00:00.000000000+0000","411.6667","412.3333","1764938274158","1"
"2021-11-05T06:06:00.000000000+0000","411.7367","411.9667","1764938277158","1"
"2021-11-05T06:26:00.000000000+0000","412.1833","412.3033","1764938283158","1"
"2021-11-05T06:25:00.000000000+0000","412.0","412.1833","1764938283158","1"
"2021-11-05T06:29:00.000000000+0000","412.3267","412.2167","1764938286158","1"
"2021-11-05T06:40:00.000000000+0000","411.3333","411.0","1764938289158","1"
"2021-11-05T06:39:00.000000000+0000","411.4","411.3333","1764938289158","1"
"2021-11-05T06:44:00.000000000+0000","410.3333","410.0","1764938292158","1"
"2021-11-05T06:43:00.000000000+0000","411.0133","410.3333","1764938292158","1"
"2021-11-05T07:00:00.000000000+0000","410.0","410.3333","1764938295158","1"
"2021-11-05T07:01:00.000000000+0000","410.3333","410.3333","1764938295158","1"
"2021-11-05T07:02:00.000000000+0000","410.3333","410.3333","1764938296658","1"
"2021-11-05T07:03:00.000000000+0000","410.3333","410.0","1764938298158","1"
"2021-11-05T07:04:00.000000000+0000","410.0","410.0","1764938298158","1"
"2021-11-05T07:05:00.000000000+0000","410.0","409.7667","1764938299658","1"
"2021-11-05T07:06:00.000000000+0000","409.7667","410.0","1764938301158","1"
"2021-11-05T07:07:00.000000000+0000","410.0","409.7667","1764938301158","1"
"2021-11-05T07:08:00.000000000+0000","409.7667","409.6967","1764938302658","1"
"2021-11-05T07:09:00.000000000+0000","409.6967","409.9967","1764938304158","1"
"2021-11-05T07:10:00.000000000+0000","409.9967","409.8333","1764938304158","1"
"2021-11-05T07:14:00.000000000+0000","410.02","410.0","1764938307158","1"
"2021-11-05T07:13:00.000000000+0000","409.9333","410.02","1764938307158","1"
"2021-11-05T07:15:00.000000000+0000","410.0","409.8333","1764938308658","1"
"2021-11-05T07:16:00.000000000+0000","409.8333","409.9667","1764938310158","1"
"2021-11-05T07:20:00.000000000+0000","409.24","409.1867","1764938311658","1"
"2021-11-05T07:22:00.000000000+0000","409.0","409.3333","1764938313158","1"
"2021-11-05T07:21:00.000000000+0000","409.1867","409.0","1764938313158","1"
"2021-11-05T07:26:00.000000000+0000","409.3367","409.3333","1764938316158","1"
"2021-11-05T07:27:00.000000000+0000","409.3333","409.2967","1764938316158","1"
"2021-11-05T07:28:00.000000000+0000","409.2967","409.0","1764938317658","1"
"2021-11-05T07:30:00.000000000+0000","408.8467","409.1333","1764938319158","1"
"2021-11-05T07:29:00.000000000+0000","409.0","408.8467","1764938319158","1"
"2021-11-05T07:31:00.000000000+0000","409.1333","409.0","1764938320658","1"
"2021-11-05T07:32:00.000000000+0000","409.0","408.6667","1764938322158","1"
"2021-11-05T07:33:00.000000000+0000","408.6667","408.5967","1764938322158","1"
"2021-11-05T07:34:00.000000000+0000","408.5967","408.3967","1764938323658","1"
"2021-11-05T07:35:00.000000000+0000","408.3967","408.6667","1764938325158","1"
"2021-11-05T07:36:00.000000000+0000","408.6667","408.6667","1764938325158","1"
"2021-11-05T07:39:00.000000000+0000","409.0","408.6667","1764938328158","1"
"2021-11-05T07:40:00.000000000+0000","408.6667","408.6633","1764938328158","1"
"2021-11-05T07:47:00.000000000+0000","408.5833","408.6667","1764938331158","1"
"2021-11-05T07:54:00.000000000+0000","408.9933","409.6667","1764938334158","1"
"2021-11-05T07:55:00.000000000+0000","409.6667","409.6667","1764938335658","1"
"2021-11-05T08:05:00.000000000+0000","409.0333","409.3333","1764938340158","1"
"2021-11-05T08:04:00.000000000+0000","409.3333","409.0333","1764938340158","1"
"2021-11-05T08:06:00.000000000+0000","409.3333","409.3333","1764938341658","1"
"2021-11-05T08:09:00.000000000+0000","409.1633","408.9967","1764938343158","1"
"2021-11-05T08:10:00.000000000+0000","408.9967","409.0","1764938344658","1"
"2021-11-05T08:13:00.000000000+0000","409.3333","409.0","1764938346158","1"
"2021-11-05T08:23:00.000000000+0000","409.0","409.0","1764938350658","1"
"2021-11-05T08:28:00.000000000+0000","409.0667","409.0033","1764938352158","1"
"2021-11-05T08:29:00.000000000+0000","409.0033","409.3167","1764938353658","1"
"2021-11-05T08:30:00.000000000+0000","409.3167","408.53","1764938355158","1"
"2021-11-05T08:31:00.000000000+0000","408.53","408.9933","1764938355158","1"
"2021-11-05T08:32:00.000000000+0000","408.9933","409.3633","1764938356658","1"
