"symbol","windowStart","windowEnd","preds_json","time","diff","crns_pred","time","diff"
"TSLA","2021-11-05T03:49:00.000000000+0000","2021-11-05T05:49:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [404.4110412597656, 397.5979309082031, 390.829833984375, 384.00146484375, 376.98834228515625, 370.1203918457031, 363.1511535644531, 355.993408203125, 348.9313049316406, 342.0117492675781], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","404.4110412597656","1764938268168","1"
"TSLA","2021-11-05T02:48:00.000000000+0000","2021-11-05T04:48:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [403.9125061035156, 396.85711669921875, 389.2966613769531, 382.2941589355469, 375.54046630859375, 367.9678955078125, 360.1476745605469, 352.8076171875, 345.5006408691406, 338.05828857421875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","403.9125061035156","1764938268168","1"
"TSLA","2021-11-05T03:42:00.000000000+0000","2021-11-05T05:42:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [399.71820068359375, 389.5857849121094, 379.4531555175781, 369.3583984375, 358.843017578125, 348.25067138671875, 337.6003112792969, 326.9701232910156, 316.1466064453125, 305.5115966796875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","399.71820068359375","1764938268168","1"
"TSLA","2021-11-05T03:47:00.000000000+0000","2021-11-05T05:47:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [395.802001953125, 381.5310974121094, 366.44573974609375, 351.6849365234375, 336.4456481933594, 321.69976806640625, 306.91961669921875, 292.1589660644531, 277.2491455078125, 263.0895690917969], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","395.802001953125","1764938268168","1"
"TSLA","2021-11-05T02:55:00.000000000+0000","2021-11-05T04:55:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [402.68060302734375, 395.51312255859375, 388.72015380859375, 381.7924499511719, 374.1045227050781, 366.78125, 359.7189636230469, 352.6981506347656, 345.42388916015625, 338.1490783691406], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","402.68060302734375","1764938268168","1"
"TSLA","2021-11-05T03:00:00.000000000+0000","2021-11-05T05:00:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [401.4635314941406, 393.02197265625, 384.8069152832031, 376.38250732421875, 367.7924499511719, 359.2025451660156, 350.66680908203125, 342.13916015625, 333.71490478515625, 325.463623046875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","401.4635314941406","1764938268168","1"
"TSLA","2021-11-05T03:44:00.000000000+0000","2021-11-05T05:44:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [399.17803955078125, 389.3645935058594, 379.657470703125, 369.886474609375, 359.6280822753906, 349.32403564453125, 338.8880310058594, 328.471435546875, 318.48126220703125, 308.4120178222656], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","399.17803955078125","1764938268168","1"
"TSLA","2021-11-05T03:09:00.000000000+0000","2021-11-05T05:09:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [398.7977600097656, 388.2773742675781, 377.6254577636719, 366.84210205078125, 355.6722412109375, 344.5398864746094, 333.28155517578125, 321.9431457519531, 311.02325439453125, 300.0887451171875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","398.7977600097656","1764938268168","1"
"TSLA","2021-11-05T03:03:00.000000000+0000","2021-11-05T05:03:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [400.6419677734375, 390.545166015625, 380.3469543457031, 370.3325500488281, 360.0568542480469, 349.8851623535156, 339.68939208984375, 329.6579895019531, 319.2285461425781, 309.41326904296875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","400.6419677734375","1764938268168","1"
"TSLA","2021-11-05T03:12:00.000000000+0000","2021-11-05T05:12:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [395.4336242675781, 380.295654296875, 365.9233093261719, 351.0823059082031, 336.81951904296875, 322.5281066894531, 308.6022644042969, 293.8453063964844, 280.1816101074219, 266.433837890625], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","395.4336242675781","1764938268168","1"
"TSLA","2021-11-05T03:55:00.000000000+0000","2021-11-05T05:55:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [400.0274963378906, 389.6684265136719, 378.27239990234375, 366.5043029785156, 354.2853088378906, 341.83306884765625, 329.2845153808594, 317.0156555175781, 304.9423828125, 293.089111328125], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","400.0274963378906","1764938268168","1"
"TSLA","2021-11-05T03:32:00.000000000+0000","2021-11-05T05:32:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [405.37371826171875, 399.2315368652344, 392.95751953125, 386.68560791015625, 380.49169921875, 374.16033935546875, 367.6248779296875, 360.89996337890625, 354.3133239746094, 347.71234130859375], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","405.37371826171875","1764938268168","1"
"TSLA","2021-11-05T03:10:00.000000000+0000","2021-11-05T05:10:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [398.9450988769531, 388.20721435546875, 377.68157958984375, 367.09600830078125, 356.03656005859375, 345.3601379394531, 334.5167541503906, 323.5539855957031, 312.6841125488281, 302.0718078613281], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","398.9450988769531","1764938268168","1"
"TSLA","2021-11-05T03:36:00.000000000+0000","2021-11-05T05:36:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [400.8749084472656, 392.53558349609375, 383.1957092285156, 374.6484680175781, 365.2974548339844, 356.3402404785156, 346.9606018066406, 338.2303466796875, 328.77886962890625, 320.1391906738281], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","400.8749084472656","1764938268168","1"
"TSLA","2021-11-05T03:57:00.000000000+0000","2021-11-05T05:57:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [396.7426452636719, 382.78936767578125, 368.6585998535156, 354.5039367675781, 339.8753662109375, 325.07647705078125, 310.308349609375, 295.69140625, 281.745361328125, 267.9248046875], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","396.7426452636719","1764938268168","1"
"TSLA","2021-11-05T02:40:00.000000000+0000","2021-11-05T04:40:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [403.0720520019531, 395.69219970703125, 388.06341552734375, 380.5014953613281, 373.0464172363281, 365.2467956542969, 357.4093933105469, 349.8321228027344, 342.01812744140625, 334.2845764160156], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","403.0720520019531","1764938268168","1"
"TSLA","2021-11-05T04:06:00.000000000+0000","2021-11-05T06:06:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [402.84326171875, 395.56146240234375, 388.28460693359375, 380.93792724609375, 373.1883850097656, 365.5340881347656, 357.7244873046875, 350.02850341796875, 342.3429870605469, 334.7770080566406], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","402.84326171875","1764938268168","1"
"TSLA","2021-11-05T03:30:00.000000000+0000","2021-11-05T05:30:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [400.3343200683594, 390.7306823730469, 381.1719665527344, 371.7825622558594, 362.2884826660156, 352.70989990234375, 343.21759033203125, 333.53973388671875, 324.0839538574219, 314.8322448730469], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","400.3343200683594","1764938268168","1"
"TSLA","2021-11-05T03:06:00.000000000+0000","2021-11-05T05:06:00.000000000+0000","{""ok"": true, ""horizon"": 10, ""preds"": [403.2491760253906, 396.5309753417969, 389.6329650878906, 382.827880859375, 375.64129638671875, 368.3100280761719, 361.0454406738281, 353.7177734375, 346.18341064453125, 338.8069152832031], ""ckpt"": ""/app/chronos-2-finetuned/finetuned-ckpt""}","1764938252580.0","1.0","403.2491760253906","1764938268168","1"
