"timestamp","prev_close","new_close","crns_pred","sari_pred","real_diff","crns_diff","sari_diff","crns_bool","sari_bool","time","diff"
"2021-11-05T05:07:00.000000000+0000","407.6667","408.21","403.0882263183594","407.1237676858511","0.5432999999999879","-4.578473681640617","-0.5429323141489135","0.0","0.0","1764938268168","1"
"2021-11-05T05:25:00.000000000+0000","408.6633","409.1667","404.5196838378906","408.2465839167697","0.5033999999999992","-4.1436161621093675","-0.4167160832303125","0.0","0.0","1764938268168","1"
"2021-11-05T05:52:00.000000000+0000","410.3333","411.2667","401.7264404296875","410.669900939879","0.933400000000006","-8.606859570312508","0.33660093987901973","0.0","1.0","1764938269672","1"
"2021-11-05T05:53:00.000000000+0000","411.2667","411.3333","399.90673828125","412.1993469345113","0.066599999999994","-11.359961718750014","0.9326469345112969","0.0","1.0","1764938271172","1"
"2021-11-05T05:55:00.000000000+0000","411.6667","412.3333","400.0274963378906","411.9418686929546","0.6666000000000167","-11.639203662109367","0.275168692954594","0.0","1.0","1764938272672","1"
"2021-11-05T05:54:00.000000000+0000","411.3333","411.6667","402.5761413574219","412.10939939887373","0.33339999999998327","-8.757158642578133","0.7760993988737255","0.0","1.0","1764938272672","1"
"2021-11-05T06:00:00.000000000+0000","411.6667","412.3333","403.29339599609375","411.0416212837235","0.6666000000000167","-8.373304003906242","-0.625078716276505","0.0","0.0","1764938275672","1"
"2021-11-05T06:06:00.000000000+0000","411.7367","411.9667","402.84326171875","411.6651694641868","0.2300000000000182","-8.893438281249985","-0.07153053581316726","0.0","0.0","1764938278672","1"
"2021-11-05T05:54:00.000000000+0000","411.3333","411.6667","402.5761413574219","412.10939939887373","0.33339999999998327","-8.757158642578133","0.7760993988737255","0.0","1.0","1764938289168","-1"
"2021-11-05T06:06:00.000000000+0000","411.7367","411.9667","402.84326171875","411.6651694641868","0.2300000000000182","-8.893438281249985","-0.07153053581316726","0.0","0.0","1764938289168","-1"
"2021-11-05T05:25:00.000000000+0000","408.6633","409.1667","404.5196838378906","408.2465839167697","0.5033999999999992","-4.1436161621093675","-0.4167160832303125","0.0","0.0","1764938289168","-1"
"2021-11-05T05:53:00.000000000+0000","411.2667","411.3333","399.90673828125","412.1993469345113","0.066599999999994","-11.359961718750014","0.9326469345112969","0.0","1.0","1764938289168","-1"
"2021-11-05T06:29:00.000000000+0000","412.3267","412.2167","406.3052673339844","412.3003631141283","-0.11000000000001364","-6.021432666015642","-0.026336885871728555","1.0","1.0","1764938289168","1"
"2021-11-05T05:53:00.000000000+0000","411.2667","411.3333","404.74346923828125","412.1993469345113","0.066599999999994","-6.523230761718764","0.9326469345112969","0.0","1.0","1764938289168","1"
"2021-11-05T06:25:00.000000000+0000","412.0","412.1833","405.052978515625","222.85891670278937","0.18329999999997426","-6.947021484375","-189.14108329721063","0.0","0.0","1764938289168","1"
"2021-11-05T05:25:00.000000000+0000","408.6633","409.1667","404.6051330566406","408.2465839167697","0.5033999999999992","-4.0581669433593675","-0.4167160832303125","0.0","0.0","1764938289168","1"
"2021-11-05T06:26:00.000000000+0000","412.1833","412.3033","406.6438903808594","69632.12354718293","0.12000000000000455","-5.539409619140599","69219.94024718292","0.0","1.0","1764938289168","1"
"2021-11-05T05:54:00.000000000+0000","411.3333","411.6667","405.3168640136719","412.10939939887373","0.33339999999998327","-6.016435986328133","0.7760993988737255","0.0","1.0","1764938289168","1"
"2021-11-05T06:06:00.000000000+0000","411.7367","411.9667","404.8870849609375","411.6651694641868","0.2300000000000182","-6.849615039062485","-0.07153053581316726","0.0","0.0","1764938289168","1"
"2021-11-05T06:39:00.000000000+0000","411.4","411.3333","397.265869140625","408.2132144982607","-0.0666999999999689","-14.134130859374977","-3.18678550173928","1.0","1.0","1764938289172","1"
