timestamp,open,high,low,close,volume,date
2021-11-05 04:00:00+00:00,407.41,408.6667,407.41,408.6667,2364,2021-11-05
2021-11-05 04:01:00+00:00,408.6667,408.68,408.0,408.0,2028,2021-11-05
2021-11-05 04:02:00+00:00,407.6667,407.6667,406.6667,406.6667,3141,2021-11-05
2021-11-05 04:03:00+00:00,406.6667,407.15,406.6667,406.6667,3654,2021-11-05
2021-11-05 04:04:00+00:00,407.0,407.0,407.0,407.0,300,2021-11-05
2021-11-05 04:06:00+00:00,407.8333,408.0,407.8333,408.0,1647,2021-11-05
2021-11-05 04:07:00+00:00,407.99,407.99,407.99,407.99,600,2021-11-05
2021-11-05 04:08:00+00:00,407.5967,408.0,407.5967,408.0,1977,2021-11-05
2021-11-05 04:09:00+00:00,408.3333,408.3333,408.3333,408.3333,300,2021-11-05
2021-11-05 04:11:00+00:00,408.8667,408.8667,408.8667,408.8667,588,2021-11-05
2021-11-05 04:17:00+00:00,408.8967,408.8967,408.8967,408.8967,600,2021-11-05
2021-11-05 04:18:00+00:00,409.3333,409.3333,409.3333,409.3333,2160,2021-11-05
2021-11-05 04:19:00+00:00,409.6533,410.03,409.6533,410.03,1335,2021-11-05
2021-11-05 04:20:00+00:00,410.3267,410.9533,410.3267,410.8233,924,2021-11-05
2021-11-05 04:21:00+00:00,410.8167,410.8167,410.63,410.63,1728,2021-11-05
2021-11-05 04:23:00+00:00,410.0,410.0,410.0,410.0,417,2021-11-05
2021-11-05 04:24:00+00:00,410.0,410.0,410.0,410.0,768,2021-11-05
2021-11-05 04:29:00+00:00,409.83,409.83,409.83,409.83,300,2021-11-05
2021-11-05 04:30:00+00:00,409.6667,409.6667,409.6667,409.6667,600,2021-11-05
2021-11-05 04:34:00+00:00,409.0567,409.0567,408.9567,408.9567,1557,2021-11-05
2021-11-05 04:35:00+00:00,408.7333,408.7333,408.5233,408.5233,1209,2021-11-05
2021-11-05 04:37:00+00:00,409.01,409.01,409.01,409.01,306,2021-11-05
2021-11-05 04:38:00+00:00,409.0,409.0,409.0,409.0,300,2021-11-05
2021-11-05 04:43:00+00:00,408.6667,408.6667,408.6667,408.6667,792,2021-11-05
2021-11-05 04:53:00+00:00,408.9967,408.9967,408.9967,408.9967,477,2021-11-05
2021-11-05 04:55:00+00:00,408.99,409.24,408.99,409.24,627,2021-11-05
2021-11-05 05:00:00+00:00,409.0,409.0,409.0,409.0,2067,2021-11-05
2021-11-05 05:05:00+00:00,408.6667,408.6667,408.6667,408.6667,423,2021-11-05
2021-11-05 05:07:00+00:00,408.3333,408.3333,407.6667,407.6667,1950,2021-11-05
2021-11-05 05:08:00+00:00,408.21,408.21,408.21,408.21,300,2021-11-05
2021-11-05 05:17:00+00:00,408.3333,408.6433,408.3333,408.6433,600,2021-11-05
2021-11-05 05:21:00+00:00,408.5933,409.08,408.5933,409.08,900,2021-11-05
2021-11-05 05:25:00+00:00,408.6633,408.6633,408.6633,408.6633,999,2021-11-05
2021-11-05 05:26:00+00:00,409.1667,409.1667,409.1667,409.1667,534,2021-11-05
2021-11-05 05:28:00+00:00,409.2167,409.2167,409.2167,409.2167,2364,2021-11-05
2021-11-05 05:32:00+00:00,409.4967,409.4967,409.4967,409.4967,498,2021-11-05
2021-11-05 05:46:00+00:00,409.7667,409.7667,409.7667,409.7667,300,2021-11-05
2021-11-05 05:50:00+00:00,409.9967,409.9967,409.9967,409.9967,594,2021-11-05
